Epoch,AvgPSNR
1,"(13.477817512448096,)"
2,"(12.45469362757839,)"
3,"(12.697540524562958,)"
4,"(12.618920691391567,)"
5,"(13.236588219074868,)"
6,"(12.994731745768597,)"
7,"(13.522525243380713,)"
8,"(13.445066263566568,)"
9,"(13.605050664877945,)"
10,"(13.60392660424934,)"
11,"(13.184006476027413,)"
12,"(13.224178913446302,)"
13,"(13.632780015375493,)"
14,"(13.598451796915892,)"
15,"(13.147480447963835,)"
16,"(13.519980863942555,)"
17,"(13.89948712960718,)"
18,"(13.129888965811066,)"
19,"(13.962201205272153,)"
20,"(13.480865464793673,)"
21,"(14.054498088763594,)"
22,"(14.334432602977852,)"
23,"(14.339851275242147,)"
24,"(14.4919455792071,)"
25,"(14.50509764703317,)"
26,"(14.55634107201657,)"
27,"(14.380686784780684,)"
28,"(14.355411624040103,)"
29,"(14.6303592303379,)"
30,"(14.534232066727307,)"
31,"(14.728406006981398,)"
32,"(14.70181992333663,)"
33,"(14.721805753522062,)"
34,"(14.726492104269735,)"
35,"(14.741947965641293,)"
36,"(14.727379220240055,)"
37,"(14.790091706481496,)"
38,"(14.733138091264056,)"
39,"(14.74709860602178,)"
40,"(14.767063378096397,)"
41,"(14.728544140326921,)"
42,"(14.776168353951634,)"
43,"(14.674293219183095,)"
44,"(14.770206656577,)"
45,"(14.725181413452807,)"
46,"(14.739165727287615,)"
47,"(14.788919456765356,)"
48,"(14.731240414790074,)"
49,"(14.726926973039719,)"
50,"(14.698288930124058,)"
51,"(14.769098478218904,)"
52,"(14.689427232719815,)"
53,"(14.754697848933377,)"
54,"(14.75385223916069,)"
55,"(14.720321272334163,)"
56,"(14.739468626716125,)"
57,"(14.755378783575445,)"
58,"(14.748277699995581,)"
59,"(14.729760112713437,)"
60,"(14.753904143821206,)"
61,"(14.735027019086973,)"
62,"(14.732092494693374,)"
63,"(14.786330673750383,)"
64,"(14.817962410417252,)"
65,"(14.763836897382763,)"
66,"(14.693966188455585,)"
67,"(14.79246869554784,)"
68,"(14.773228057854087,)"
69,"(14.777565589413413,)"
70,"(14.743619364195936,)"
71,"(14.76995880147838,)"
72,"(14.768073638484795,)"
73,"(14.754181282861472,)"
74,"(14.76254896533609,)"
75,"(14.786381538378095,)"
76,"(14.746395790400237,)"
77,"(14.747736851276791,)"
78,"(14.752613744218023,)"
79,"(14.740493225494214,)"
80,"(14.788981703566865,)"
81,"(14.722975453648175,)"
82,"(14.773052806780216,)"
83,"(14.772305137925029,)"
84,"(14.75398258424461,)"
85,"(14.732878102171881,)"
86,"(14.75361040210041,)"
87,"(14.765054261482087,)"
88,"(14.77312306597716,)"
89,"(14.752448071052322,)"
90,"(14.758857337935678,)"
91,"(14.732926992446528,)"
92,"(14.754398060481467,)"
93,"(14.769954849954395,)"
94,"(14.754015522982186,)"
95,"(14.753416645545563,)"
96,"(14.750313472406242,)"
97,"(14.768131608130494,)"
98,"(14.750276264680354,)"
99,"(14.765187953302114,)"
100,"(14.761071470506126,)"
101,"(14.74315757210398,)"
102,"(14.773001641961578,)"
103,"(14.761210552658369,)"
104,"(14.745347640415469,)"
105,"(14.768744928456911,)"
106,"(14.74918744910646,)"
107,"(14.741833398590272,)"
108,"(14.759696937234178,)"
109,"(14.749776466395605,)"
110,"(14.798234623432753,)"
