Epoch,AvgPSNR
1,"(12.9689164679268,)"
2,"(13.178637252262938,)"
3,"(13.32398877992089,)"
4,"(13.334095569958897,)"
5,"(13.434802790478994,)"
6,"(13.115045208044302,)"
7,"(13.385989522311796,)"
8,"(13.479400534595891,)"
9,"(13.550939039570054,)"
10,"(13.675178923386826,)"
11,"(13.839153090416735,)"
12,"(14.346516073360256,)"
13,"(14.528012435635764,)"
14,"(14.756652222653717,)"
15,"(15.358211970050254,)"
16,"(15.478487356608252,)"
17,"(17.713047150168194,)"
18,"(18.48319881250415,)"
19,"(19.155593330015662,)"
20,"(19.75089494119144,)"
21,"(19.9857631386203,)"
22,"(20.424959542338225,)"
23,"(20.809152140312953,)"
24,"(21.407361757714323,)"
25,"(21.824016694258823,)"
26,"(21.482741591675193,)"
27,"(22.093891917770407,)"
28,"(22.21250067332133,)"
29,"(22.913062086347004,)"
30,"(22.575743357440327,)"
31,"(22.294302929496897,)"
32,"(22.56117137623457,)"
33,"(22.49956240883468,)"
34,"(22.21262936397643,)"
35,"(22.84890008566134,)"
36,"(22.9366639968478,)"
37,"(23.332566651241144,)"
38,"(23.029625936594204,)"
39,"(23.385224876773908,)"
40,"(23.450178881385177,)"
41,"(22.90491696593818,)"
42,"(22.790882640773617,)"
43,"(22.058527368244953,)"
44,"(22.138168597740197,)"
45,"(12.234758302611745,)"
46,"(12.484806980130784,)"
47,"(12.961618971108392,)"
48,"(13.09887369104043,)"
49,"(13.18056556578076,)"
50,"(13.187645106195912,)"
51,"(13.195470819702424,)"
52,"(13.305457995485455,)"
53,"(13.325964902440528,)"
54,"(13.369296484679591,)"
55,"(13.379615079103075,)"
56,"(13.41419481132916,)"
57,"(13.451209211193575,)"
58,"(13.49786188154061,)"
59,"(13.409705693737179,)"
60,"(13.558912974693557,)"
61,"(13.568668046014935,)"
62,"(13.65983337783103,)"
63,"(13.613676301926787,)"
64,"(13.6941725330301,)"
65,"(13.883086955235317,)"
66,"(13.077225706570905,)"
67,"(13.212531294880613,)"
68,"(13.344396325681679,)"
69,"(13.405614485891219,)"
70,"(13.423067080055095,)"
71,"(13.449345312268823,)"
72,"(13.48641804587969,)"
73,"(13.546519794832212,)"
74,"(13.547058307260436,)"
75,"(13.624719565729826,)"
76,"(13.684261395730925,)"
77,"(13.664944771245855,)"
78,"(13.92990714951826,)"
79,"(13.95716104891917,)"
80,"(13.924177349642264,)"
81,"(14.294134076979507,)"
82,"(14.343111946329136,)"
83,"(14.562970490571256,)"
84,"(14.746336029840254,)"
85,"(14.868202457904173,)"
86,"(15.100463566930058,)"
87,"(15.601599271574633,)"
88,"(15.601348406010397,)"
89,"(15.688047072150152,)"
90,"(16.26846333366295,)"
91,"(16.629002934984726,)"
92,"(16.852559883506608,)"
93,"(16.600374914256754,)"
94,"(17.37442385143331,)"
95,"(18.15682302026244,)"
96,"(18.66139608419,)"
97,"(19.113091504160554,)"
98,"(19.262395904969097,)"
99,"(19.4397249389185,)"
100,"(19.342144405705564,)"
101,"(19.678301855190682,)"
102,"(19.743851691507835,)"
103,"(20.166790745236888,)"
104,"(20.200288002726225,)"
105,"(20.538928876028656,)"
106,"(20.65243966072402,)"
107,"(20.76049320834167,)"
108,"(20.516856094220056,)"
109,"(20.95764484870666,)"
110,"(20.941642197852378,)"
111,"(21.367072861761223,)"
112,"(20.7893982265142,)"
113,"(20.886676185470122,)"
114,"(21.045579185851505,)"
115,"(20.813288678968153,)"
116,"(21.783476732739786,)"
117,"(21.87658345487797,)"
118,"(21.76324567141859,)"
119,"(21.518485367934066,)"
120,"(21.377653291973868,)"
121,"(21.786117196727172,)"
122,"(21.809035911656878,)"
123,"(22.55774861994039,)"
124,"(21.41656144120685,)"
125,"(21.552601888819265,)"
