Epoch,AvgPSNR
1,"(13.054359648978949,)"
2,"(13.378632128167473,)"
3,"(13.46831763525053,)"
4,"(13.487284755617166,)"
5,"(13.261113686421217,)"
6,"(13.43718011927415,)"
7,"(13.514248105982256,)"
8,"(13.589060879475905,)"
9,"(13.687563833236876,)"
10,"(13.849624124059401,)"
11,"(14.120517409201378,)"
12,"(14.308317986125479,)"
13,"(14.892564559790168,)"
14,"(14.950994615799091,)"
15,"(15.723553968765751,)"
16,"(16.113942957706378,)"
17,"(16.900852205419437,)"
18,"(18.183033043087264,)"
19,"(19.47666278008453,)"
20,"(20.29916809780018,)"
21,"(20.761968586703254,)"
22,"(21.490092076184894,)"
23,"(21.636808100974584,)"
24,"(22.374990102857613,)"
25,"(22.800434895388925,)"
26,"(23.12315956240211,)"
27,"(22.709766439323285,)"
28,"(22.923068808912642,)"
29,"(22.699451797465514,)"
30,"(22.760440232397794,)"
31,"(22.76197602622834,)"
32,"(23.54569073409085,)"
33,"(22.812665738996042,)"
34,"(23.155016950764022,)"
35,"(22.595035796144032,)"
36,"(11.815961732575639,)"
37,"(12.976353682189457,)"
38,"(13.232103359105421,)"
39,"(13.372145033345042,)"
40,"(13.432509676144216,)"
41,"(13.46325611879046,)"
42,"(13.553571942734115,)"
43,"(13.431982309297412,)"
44,"(13.607850608552777,)"
45,"(13.773232832588802,)"
46,"(13.676193406739438,)"
47,"(12.003447951863885,)"
48,"(13.340700270049087,)"
49,"(13.518348857404918,)"
50,"(13.5273460251698,)"
51,"(13.678447196548705,)"
52,"(13.881329453219662,)"
53,"(14.073643636953404,)"
54,"(14.581188987488336,)"
55,"(14.661963657060674,)"
56,"(15.433849914081902,)"
57,"(15.559519727650413,)"
58,"(14.965593226915608,)"
59,"(16.41447133612374,)"
60,"(16.5602785793117,)"
61,"(17.058664543506385,)"
62,"(17.32223958646094,)"
63,"(18.32393435248991,)"
64,"(19.803875224360926,)"
65,"(19.8049180140703,)"
66,"(20.26628217736389,)"
67,"(20.270871725002255,)"
68,"(21.08196274916042,)"
69,"(21.40969825340685,)"
70,"(21.972749443264416,)"
71,"(21.44762191663781,)"
72,"(21.60745634250944,)"
73,"(21.9201325563294,)"
74,"(22.219445344361297,)"
75,"(22.235970649563622,)"
76,"(21.24922461930691,)"
77,"(21.541104246586404,)"
78,"(22.283364830064126,)"
79,"(23.09012947199423,)"
80,"(11.63870295794717,)"
81,"(13.366969285072132,)"
82,"(13.49313248290418,)"
83,"(13.53262774910732,)"
84,"(13.790618667171612,)"
85,"(14.230448374536337,)"
86,"(14.891416361051746,)"
87,"(15.058364506070058,)"
88,"(16.36351978190638,)"
89,"(16.8712267693427,)"
90,"(18.230430285197006,)"
91,"(17.07444027773327,)"
92,"(19.146649540888895,)"
93,"(19.934674641826415,)"
94,"(20.41339834769251,)"
95,"(21.15378242614543,)"
96,"(21.118017451449212,)"
97,"(21.899827697669146,)"
98,"(21.947407396720745,)"
99,"(21.775847268356465,)"
100,"(22.598904472790853,)"
101,"(22.297496136548506,)"
102,"(23.465363059128272,)"
103,"(22.298875594101915,)"
104,"(22.108460064753977,)"
105,"(22.533762542443938,)"
106,"(23.894899322154842,)"
107,"(23.067243783620853,)"
108,"(22.45529739986604,)"
109,"(23.181401041091966,)"
110,"(23.230962023152635,)"
111,"(24.004186610585236,)"
112,"(22.566552951130948,)"
113,"(23.07425448194231,)"
114,"(23.812238935959893,)"
115,"(22.427003874125138,)"
116,"(22.809926309201565,)"
117,"(23.665221465837845,)"
118,"(22.929127341917855,)"
119,"(23.248963982116376,)"
120,"(23.75597156810849,)"
121,"(22.50263894974473,)"
122,"(23.931042166474484,)"
123,"(23.408982198665136,)"
124,"(22.55640256692846,)"
125,"(23.692216566086422,)"
126,"(23.089735308141286,)"
127,"(22.706372151995648,)"
128,"(24.270116226638756,)"
129,"(23.209744838516176,)"
130,"(22.775406380136058,)"
131,"(23.651036733201693,)"
132,"(24.512062652419008,)"
133,"(23.796090099379796,)"
134,"(22.837900082717233,)"
135,"(22.85842260076365,)"
136,"(23.394291245733648,)"
137,"(22.76922863072016,)"
138,"(22.99414193615176,)"
139,"(23.824637300448686,)"
140,"(23.4739210039707,)"
141,"(23.670876686275562,)"
142,"(23.35513186003659,)"
143,"(24.291111911938565,)"
144,"(24.16318013133531,)"
145,"(24.180721481250032,)"
146,"(24.618615828721516,)"
147,"(22.704215714938474,)"
148,"(22.682100725134266,)"
149,"(24.49117105587203,)"
150,"(23.160216936783637,)"
