Epoch,AvgPSNR
1,"(2.843219268836793,)"
2,"(10.342929969947678,)"
3,"(10.887411691778752,)"
4,"(9.450543841290198,)"
5,"(11.54493302569607,)"
6,"(12.105246191990512,)"
7,"(11.958357432846572,)"
8,"(10.577842579260796,)"
9,"(12.49299742124934,)"
10,"(12.657592192460065,)"
11,"(12.839243265282619,)"
12,"(12.821420268659843,)"
13,"(12.85413036885952,)"
14,"(12.77596370156135,)"
15,"(12.987650664279888,)"
16,"(12.815466706051733,)"
17,"(12.831283933532362,)"
18,"(12.7521826922974,)"
19,"(13.075936435199536,)"
20,"(13.090134441240965,)"
21,"(13.102833996011473,)"
22,"(13.196815345362738,)"
23,"(13.155394875137912,)"
24,"(12.9764442857871,)"
25,"(13.138532254817228,)"
26,"(13.23368970598741,)"
27,"(13.169405406478665,)"
28,"(12.705203799897149,)"
29,"(12.813751058807922,)"
30,"(13.128868685804457,)"
31,"(13.276498959635688,)"
32,"(13.327708473197852,)"
33,"(13.23484127351657,)"
34,"(13.20732990415684,)"
35,"(13.310265907372575,)"
36,"(13.317016160184592,)"
37,"(13.36857705594418,)"
38,"(13.292540652299683,)"
39,"(13.312155977887855,)"
40,"(13.396858140394919,)"
41,"(13.446181297003534,)"
42,"(13.420086477608764,)"
43,"(13.596716487154326,)"
44,"(13.63276428158676,)"
45,"(13.852532665726132,)"
46,"(14.028343205418924,)"
47,"(14.294500372314246,)"
48,"(14.038928095382712,)"
49,"(13.671008665207397,)"
50,"(11.245357278956629,)"
51,"(8.086221000298012,)"
52,"(9.435330719138726,)"
53,"(11.417115922863847,)"
54,"(11.896079989098777,)"
55,"(12.333462207406368,)"
56,"(12.552656703281615,)"
57,"(12.732762339762536,)"
58,"(12.85437476847065,)"
59,"(12.884396455286069,)"
60,"(13.035816120879966,)"
61,"(12.95062210976497,)"
62,"(13.077345653525029,)"
63,"(13.06636312378984,)"
64,"(13.044995997549158,)"
65,"(13.100131809605546,)"
66,"(13.032820920656254,)"
67,"(13.077742988265333,)"
68,"(13.104429678347243,)"
69,"(13.18315342657936,)"
70,"(13.20487451613481,)"
71,"(13.113809025276938,)"
72,"(13.153116373876301,)"
73,"(13.190709088890067,)"
74,"(13.218724375936661,)"
75,"(13.20397833007043,)"
76,"(13.212787182762403,)"
77,"(13.210144197641862,)"
78,"(13.27213994379137,)"
79,"(13.241891570816398,)"
80,"(13.37745528771024,)"
81,"(13.361362212824204,)"
82,"(13.3386987030166,)"
83,"(13.46645332466985,)"
84,"(13.410995804547948,)"
85,"(13.487015639936333,)"
86,"(13.595957563922223,)"
87,"(13.520803112845666,)"
88,"(13.628019592106744,)"
89,"(13.677545155916803,)"
90,"(13.821143526381153,)"
91,"(14.025412279589371,)"
92,"(13.822619067249013,)"
93,"(14.034227221158922,)"
94,"(14.542966714661686,)"
95,"(14.119186470427614,)"
96,"(14.618322929646501,)"
97,"(14.634853460759587,)"
98,"(15.143045460500556,)"
99,"(14.882876300941607,)"
100,"(15.441162524033146,)"
101,"(15.205916391132957,)"
102,"(15.786679419293243,)"
103,"(15.912599734458471,)"
104,"(16.057727297364675,)"
105,"(16.309611443842623,)"
106,"(16.74449894612484,)"
107,"(16.70785784844705,)"
108,"(16.629703828883105,)"
109,"(17.308589967161698,)"
110,"(16.60241869958852,)"
111,"(17.291249388700816,)"
112,"(17.050962921600075,)"
113,"(18.588118438672183,)"
114,"(17.841597973391142,)"
115,"(18.023532475044004,)"
116,"(17.957104077684868,)"
117,"(18.234603380747814,)"
118,"(18.470248875837733,)"
119,"(18.764515814981294,)"
120,"(19.053655019033666,)"
121,"(19.072071872093986,)"
122,"(18.8611664672925,)"
123,"(18.861642491323785,)"
124,"(19.139585185117493,)"
125,"(19.235612720948854,)"
