Epoch,AvgPSNR
1,"(13.572697594173054,)"
2,"(13.783760891668784,)"
3,"(13.775057927582289,)"
4,"(13.820994383810623,)"
5,"(13.84585850985954,)"
6,"(13.960449519970117,)"
7,"(13.88701358120597,)"
8,"(14.167668529938684,)"
9,"(14.302256737985271,)"
10,"(14.542851106058627,)"
11,"(14.605887544355292,)"
12,"(14.669713722839491,)"
13,"(14.687258233665473,)"
14,"(14.688696742786167,)"
15,"(14.698317304521357,)"
16,"(14.70076864988226,)"
17,"(14.704589056747004,)"
18,"(14.709067452284293,)"
19,"(14.699443842232007,)"
20,"(14.700063878959957,)"
21,"(14.707740273966735,)"
22,"(14.705378172628663,)"
23,"(14.702465015582428,)"
24,"(14.7048370632972,)"
25,"(14.704204615628482,)"
26,"(14.707075903223883,)"
27,"(14.70469274667433,)"
28,"(14.707083950664895,)"
29,"(14.70602294477514,)"
30,"(14.704711380751945,)"
31,"(14.704915809409476,)"
32,"(12.868146298087861,)"
33,"(13.264231190309117,)"
34,"(13.343614555911904,)"
35,"(13.530927853972152,)"
36,"(13.73881551304748,)"
37,"(13.694381167774129,)"
38,"(13.678762384331293,)"
39,"(13.730089781343072,)"
40,"(13.702328963492175,)"
41,"(13.7433306530363,)"
42,"(13.758681319150254,)"
43,"(13.817447104741312,)"
44,"(13.896283616281103,)"
45,"(13.89810941598268,)"
46,"(13.911308670880366,)"
47,"(14.021428952887218,)"
48,"(14.054418736345383,)"
49,"(14.046052241228113,)"
50,"(14.07589222756151,)"
51,"(14.248992672471346,)"
52,"(14.323203880434653,)"
53,"(14.41211092718104,)"
54,"(14.545662088186049,)"
55,"(14.603881719223697,)"
56,"(14.643090000155066,)"
57,"(14.666904766699615,)"
58,"(14.664506243109264,)"
59,"(14.671683319012327,)"
60,"(14.684029661585749,)"
61,"(14.681924857445992,)"
62,"(14.692380071082725,)"
63,"(14.682833607575825,)"
64,"(14.691528101418784,)"
65,"(14.689427131271938,)"
66,"(14.689204795771557,)"
67,"(14.69259117736663,)"
68,"(14.695102418742149,)"
69,"(14.688591690895338,)"
70,"(14.686616575259404,)"
71,"(14.694326307739068,)"
72,"(14.699865287290745,)"
73,"(14.695661236142671,)"
74,"(14.691863025536007,)"
75,"(14.697995109967895,)"
76,"(14.700697399498432,)"
77,"(14.693241327067463,)"
78,"(14.69312856501972,)"
79,"(10.432768094430951,)"
80,"(13.6934110094168,)"
81,"(13.711676277237427,)"
82,"(13.74132831270161,)"
83,"(13.759153566506868,)"
84,"(13.726339613438572,)"
85,"(13.730127902733013,)"
86,"(13.8309982077608,)"
87,"(13.7823432783868,)"
88,"(13.853071443063339,)"
89,"(13.920606382563133,)"
90,"(13.921759033409757,)"
91,"(14.089746569411075,)"
92,"(14.188073157237275,)"
93,"(14.158678782292647,)"
94,"(14.348671000469102,)"
95,"(14.248801713244038,)"
96,"(14.453468141754493,)"
97,"(14.525123142177746,)"
98,"(14.53596898536941,)"
99,"(14.605663847084925,)"
100,"(14.660850397194167,)"
101,"(14.670074279208032,)"
102,"(14.675965984698859,)"
103,"(14.68379532208432,)"
104,"(14.678828225239139,)"
105,"(14.686346375859225,)"
106,"(14.685492156643527,)"
107,"(14.683756471328023,)"
108,"(14.69396785208954,)"
109,"(14.687281546006439,)"
110,"(14.698841636985165,)"
111,"(14.69313341432514,)"
112,"(14.700608856414267,)"
113,"(14.689385039765236,)"
114,"(14.699869267966356,)"
115,"(14.694805671393782,)"
116,"(14.694495128433434,)"
117,"(14.69144589085572,)"
118,"(14.691220701665767,)"
119,"(14.69791834446773,)"
120,"(14.698903991469807,)"
121,"(14.69887484512072,)"
122,"(14.695349661127285,)"
123,"(14.700752199448617,)"
124,"(14.690822306937166,)"
125,"(14.697008336671187,)"
